x, y
4423.207238942931, 0.5759094000249817
4677.000490753004, 0.6477454096290232
5034.465314518894, 0.7714099343538785
5347.3590093511975, 0.8983609287607733
5825.996127757124, 1.0772736735458621
6078.631404158627, 1.2156829000874356
6290.671995482384, 1.3205168417692532
6544.181215588466, 1.456772098316517
6874.837816216361, 1.6325538145531762
7116.461401940154, 1.6912883571815194
7344.779194761715, 1.8185946456080941
7520.944397012458, 1.8592313991089893
7714.020409946824, 2.048669729227097
7889.704943160046, 2.063592078053655
8146.27296623216, 2.0822672199630827
8303.189558389524, 2.2556062898144424
8487.788317389462, 2.3544002331617007
8768.236852189228, 2.476599170055376
8896.90321409604, 2.517457982318571
9159.61069169283, 2.547169444714308
9299.026561165974, 2.652802797940405
9462.388488144617, 2.7528846821090034
