x, y
3603.8898968430876, 0.5498180508943152
3671.9921206780364, 0.5923337062325605
3726.5280873637103, 0.6167341742853837
3802.3713994436093, 0.6374210803790714
3932.7893836504068, 0.6021576720801348
4009.0391028631657, 0.5933521068806338
4058.388540424723, 0.6491892656456943
4081.9601541305965, 0.695922539829495
4159.409742021323, 0.7184199359642017
4297.510756311233, 0.7342000025717188
4407.80191108116, 0.7752137741259371
4495.547146337671, 0.7894508094484949
4583.098854388057, 0.8295079016060385
4674.056641266221, 0.8434671912973036
4806.216370328132, 0.8713343363036686
4888.388022048278, 0.8970618112615567
4986.041850258324, 0.9098072496753206
5073.845143676672, 0.9328704239478456
5164.91904687851, 0.9537630675461946
5265.78542671021, 0.9722691560904732
5416.485062118777, 0.9856215201429877
5541.07787742125, 0.9995910967094859
5608.270523387417, 1.0269027504532655
5681.230280096072, 1.046355231518986
5772.091303371175, 1.0453368308709128
5865.274653119763, 1.0484331803160645
6057.214936153301, 1.0837994573673315
6236.459834465122, 1.1134770924147155
6312.690200957268, 1.151199063894354
6414.833860349386, 1.147218043179159
6546.335596910476, 1.1515076701513456
6732.257183833566, 1.1904949272846508
6891.742954400152, 1.1935604161041033
6986.029409223645, 1.2099885558513033
7100.578162528294, 1.231837878846327
7209.456568693518, 1.2457971685375924
7317.212517063224, 1.2532963005824944
7444.727593178166, 1.2728825110262445
7584.647763205639, 1.2642415358304724
7739.334059060357, 1.2489552392341423
7861.546489727507, 1.2708559966053312
7982.771931643426, 1.3134025125692759
8108.4872047414165, 1.332824133009297
8240.898519171289, 1.3349329424320746
8379.096297064261, 1.3200684077203
8481.25930917699, 1.3153878794892568
8582.280510773591, 1.319091154573159
8655.240267482244, 1.3251604109606658
8817.222539007827, 1.3271766385063457
8936.338534376999, 1.3344803199218198
9012.665664472206, 1.347256618961283
9089.012147288027, 1.3569674291812934
9181.053686520485, 1.3854929342025746
8735.999170597688, 1.3294603248080856
