x, y
4727.004616833686, 0.7084740455795853
4967.496873214644, 0.7439447140652606
5253.385420687739, 0.8126495650034665
5499.668020320245, 0.8469572607519066
5758.766579682844, 0.8839040100194574
6022.960641106805, 0.9155726522487866
6366.675416518691, 0.9498803479972266
6617.435881599062, 1.0000670945809942
6883.791671170267, 1.031914655692975
7125.133177894786, 1.055666137364972
7422.6024118709765, 1.0876926173596044
7668.807806926795, 1.1009326146758214
7887.6055772586205, 1.1326459866258134
8183.144696817628, 1.1801489499698075
8568.086716180536, 1.2330642095140114
8894.43046183778, 1.2569051506273343
9207.881043188241, 1.2991300069331067
9458.64150826861, 1.3281595956433252
9681.222302858114, 1.3967749871402053
9954.372095177803, 1.4416388969650884
10156.107654061734, 1.4791224028805938
10343.791979988575, 1.4967459128217744
10685.80825471334, 1.5387918502448952
10498.741565399998, 1.529980095274305
10901.826660284423, 1.5590991434258492
11166.020721708384, 1.5934068391742893
11510.121520003706, 1.620244671572026
11890.740083072125, 1.6783038489924629
12298.303043404414, 1.7154742468633282
12620.168923613792, 1.7448616733388498
12924.046137455029, 1.7793035582492787
